,Alist,Blist,AngleList,CentreX,CentreY
86,77.0,41.0,164.78406027588488,377,1478
87,77.0,41.0,21.569360939127208,376,837
88,38.1735858801527,38.1735858801527,0.0,406,2497
89,78.0,41.0,179.78540718247538,397,46
90,78.0,41.0,54.35328500521248,393,407
91,79.0,42.0,178.19538763399424,414,2417
92,78.0,41.0,1.0209180337327979,401,2333
93,77.0,41.0,166.13501541142477,419,688
94,77.0,41.0,27.493021422266082,409,987
95,78.0,41.0,6.120034035859831,436,1837
96,79.0,42.0,5.838849060796704,429,2252
97,78.0,41.0,3.5308797182884177,438,247
98,77.0,41.0,3.700290490125539,450,771
99,39.46908388832291,39.46908388832291,0.0,418,2171
100,77.0,41.0,150.0980644869383,447,1229
101,77.0,41.0,176.8410840739303,440,1625
102,78.0,41.0,39.46525262084041,456,349
103,77.0,41.0,48.67517892657348,454,1740
104,78.0,41.0,170.37152345193823,469,162
105,77.0,41.0,0.7662563550253765,466,1541
106,78.0,41.0,171.7703423578518,463,2001
107,42.16727432764246,42.16727432764246,0.0,485,2162
108,77.0,41.0,77.28916685665169,468,571
109,77.0,41.0,16.743547243270285,479,927
110,77.0,41.0,171.96545900608805,487,2081
111,77.0,41.0,171.4067692926096,486,1307
112,77.0,41.0,27.26290350139717,499,1131
113,78.0,41.0,11.778925262426185,516,1919
114,77.0,41.0,170.80771178751553,533,841
115,77.0,41.0,6.372148314092485,542,1470
116,78.0,41.0,157.70966466807968,532,69
117,78.0,41.0,37.948612113523396,542,2396
118,79.0,42.0,26.4216597445118,521,2496
119,77.0,41.0,163.01148555481416,535,1382
120,77.0,41.0,136.45765858207477,534,1021
121,77.0,41.0,171.72030880328816,534,443
122,72.0,38.0,4.93032253396413,525,2580
123,77.0,41.0,35.55954106842391,543,1709
124,78.0,41.0,6.373883663750547,562,2306
125,76.0,40.0,8.903206783721387,561,720
126,77.0,41.0,37.11113716116657,569,350
127,78.0,41.0,107.54972123751281,565,217
128,77.0,41.0,171.27737664715337,578,520
129,77.0,41.0,169.88937477118736,584,1230
130,77.0,41.0,176.66717477640827,583,1809
131,77.0,41.0,40.59456314138841,581,1632
132,77.0,41.0,178.84236226061506,591,604
133,77.0,41.0,45.008766334625186,605,2047
134,77.0,41.0,76.7329509858666,603,1111
135,78.0,41.0,11.672117097275603,601,2143
136,77.0,41.0,29.097499683463106,612,928
137,77.0,41.0,25.678215101174203,623,2236
138,77.0,41.0,0.15148526226580827,647,1885
139,78.0,41.0,91.1456610238226,638,106
140,77.0,41.0,41.17795245784042,652,312
141,77.0,41.0,66.44339715954506,645,1569
142,77.0,41.0,33.0388324265724,659,1980
143,76.0,40.0,169.10477667371936,659,1411
144,76.0,40.0,27.06627698936269,667,1032
145,77.0,41.0,107.15604950067227,661,2372
146,78.0,41.0,16.522001559063384,652,2492
147,77.0,41.0,174.88335648714872,675,782
148,77.0,41.0,175.08135469742575,682,670
149,77.0,41.0,37.652947715024034,674,1749
150,78.0,41.0,17.737816325199546,686,229
151,76.0,40.0,9.458894879960667,689,868
152,76.0,40.0,1.484574210781389,668,1325
153,76.0,40.0,176.8226968742927,690,2576
154,77.0,41.0,30.204835701687777,714,573
155,77.0,41.0,161.80000456595567,716,1161
156,77.0,41.0,26.229770432126102,705,478
157,77.0,41.0,140.24442994292173,731,2072
158,77.0,41.0,172.08695304383113,729,1245
159,78.0,41.0,85.22392118182559,723,120
160,76.0,40.0,127.26380160575475,729,1481
161,77.0,41.0,161.07196959049764,733,1657
162,77.0,41.0,11.643598969781621,760,407
163,78.0,41.0,75.170251279984,740,2297
164,77.0,41.0,144.11603762961067,732,2169
165,76.0,40.0,147.88420035198777,751,948
166,77.0,41.0,166.8103133285003,770,1566
167,79.0,42.0,162.6825496633491,752,2424
168,76.0,40.0,146.64434259627305,779,1818
169,77.0,41.0,135.23895972041132,784,1939
170,77.0,41.0,134.06616154115824,779,299
171,76.0,40.0,36.54120424279382,796,749
172,76.0,40.0,89.25408932883946,795,1347
173,76.0,40.0,148.50225923611274,803,1716
174,78.0,41.0,148.31479264023778,800,2496
175,78.0,41.0,116.26232346654926,805,169
176,78.0,41.0,15.52371857478586,813,51
177,76.0,40.0,156.2175145411655,805,1068
178,30.508000708034015,30.508000708034015,0.0,800,2591
179,77.0,41.0,137.3918629221451,823,2196
180,76.0,40.0,26.084594329857865,830,669
181,77.0,41.0,111.50701922810845,833,2309
182,61.0,32.0,171.4575118388338,854,2558
183,76.0,40.0,123.28096773532246,843,1155
184,77.0,41.0,9.229788734185604,852,488
185,77.0,41.0,174.2414353029073,864,2000
186,75.0,40.0,35.63993920738172,858,883
187,76.0,40.0,146.98205944356343,855,1438
188,76.0,40.0,2.055298451771037,874,980
189,76.0,40.0,161.44563747999337,870,577
190,78.0,41.0,162.3435558830883,870,341
191,77.0,41.0,22.979846281321414,866,2091
192,76.0,40.0,176.14422832089838,882,1254
193,77.0,41.0,157.73649126139657,892,1836
194,77.0,41.0,148.3510256790869,879,1604
195,77.0,41.0,96.34359144514842,880,218
196,77.0,41.0,157.99621058512446,913,1504
197,76.0,40.0,158.73249663701048,912,1336
198,77.0,41.0,8.295158009457012,925,1922
199,77.0,41.0,2.1869680158212503,925,418
200,77.0,41.0,3.055554829709621,941,2444
201,76.0,40.0,177.01354182513973,931,812
202,78.0,41.0,167.29156850063532,944,100
203,77.0,41.0,35.193226476754496,940,1740
204,78.0,41.0,176.6472369781756,942,2221
205,77.0,41.0,29.730052374010953,950,2327
206,76.0,40.0,170.72456788982294,962,726
207,75.0,40.0,161.5076687093333,954,1051
208,76.0,40.0,172.23663324251544,958,1175
209,76.0,40.0,1.7976383019516788,955,641
210,77.0,41.0,91.86252671203364,963,240
211,22.74320920733615,22.74320920733615,0.0,967,2602
212,77.0,41.0,25.79977376841545,974,2544
213,76.0,40.0,67.30990693517847,982,532
214,77.0,41.0,163.15285345299955,977,1644
215,77.0,41.0,12.283485524966267,982,2060
216,75.0,40.0,146.1803976121845,1006,1374
217,77.0,41.0,8.303572326075923,1010,2147
218,77.0,41.0,164.99836509696453,1017,342
219,76.0,40.0,15.222020168541022,1009,954
220,77.0,41.0,22.63028410815373,1026,1875
221,77.0,41.0,8.290715480683758,1023,1557
222,77.0,41.0,158.76208978472124,1039,1972
223,75.0,40.0,136.7066716318012,1031,1240
224,76.0,40.0,11.315979080030814,1044,876
225,77.0,41.0,32.38882218398656,1050,2301
226,78.0,41.0,26.73275136647522,1050,172
227,77.0,41.0,131.53070847304116,1049,1449
228,76.0,40.0,11.007419753712426,1067,1114
229,76.0,40.0,1.0965437973867864,1059,1709
230,76.0,40.0,124.70880407712988,1065,763
231,76.0,40.0,113.34635586996811,1080,518
232,77.0,41.0,169.58456237986297,1076,1792
233,77.0,41.0,165.70071640749947,1096,402
234,76.0,40.0,128.2507650052607,1089,636
235,77.0,41.0,158.02347611181858,1102,1023
236,78.0,41.0,173.25744293503885,1076,2483
237,77.0,41.0,3.515933721715726,1107,266
238,78.0,41.0,11.174944644166473,1085,2397
239,74.0,39.0,145.3503803935152,1114,2563
240,78.0,41.0,147.94401359924512,1109,2204
